isolation_method,failure_mode,samples,unique_experiments,unique_tenants,p50_ms_mean,p50_ms_std,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_std,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_std,p99_ms_min,p99_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_min,jitter_ms_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,packet_drops_mean,packet_drops_std,packet_drops_min,packet_drops_max,tail_amplification_mean,tail_amplification_std,tail_amplification_min,tail_amplification_max,isolation_score_mean,isolation_score_std,isolation_score_min,isolation_score_max
adaptive,none,48,24,2,0.747,0.08829351437592153,0.624,1.017,2.9310416666666668,2.3518839072370405,0.775,6.731,4.900229166666667,3.476232934434969,0.967,11.941,1.0680833333333333,0.8818908803376385,0.098,3.023,23.784145833333334,5.7432692891084525,15.473,33.624,0.0,0.0,0.0,0.0,6.176227083333333,3.887549564888357,1.4652,13.0218,3.6099916666666667,2.635252702956534,0.6627,9.6767
adaptive,spike,48,24,2,0.7693958333333333,0.12413491966462072,0.621,1.136,3.7667083333333333,2.595918908007404,0.81,9.017,6.047583333333333,3.9632832769477044,1.014,15.122,1.2999375,0.9446111753554385,0.12,3.094,22.412229166666666,5.4506489687382915,15.344,32.771,0.0,0.0,0.0,0.0,7.368891666666666,3.991157873207379,1.5202,15.3785,4.444979166666667,2.9685635858039143,0.6824,10.8687
ebpf,none,52,24,2,0.7368846153846154,0.08099301684886508,0.637,1.016,2.8094615384615382,2.3353332756366116,0.773,7.155,4.4505,3.2224384415848695,0.897,11.333,0.97725,0.8438232989221864,0.079,3.03,24.084596153846153,5.4782140114529145,15.822,31.887,0.0,0.0,0.0,0.0,5.700169230769231,3.6098935100006058,1.3309,12.7912,3.272684615384615,2.4053077324936964,0.5897,8.5705
ebpf,spike,52,24,2,0.7572692307692308,0.11104373195835872,0.615,1.081,3.5073461538461537,2.5685075691401056,0.766,8.88,5.812711538461539,3.8012286627524685,0.969,13.345,1.29,0.875883867313246,0.095,3.026,22.772884615384616,5.223331832978423,15.764,31.351,0.0,0.0,0.0,0.0,7.2604711538461535,4.152713096105165,1.5756,18.2909,4.299488461538462,2.9394507023641268,0.6963,10.8144
none,churn,87,16,9,0.6795862068965518,0.026120272677508424,0.644,0.798,1.0223103448275863,0.2629434155392774,0.79,2.342,2.076758620689655,1.2131909583918175,0.949,7.562,12.209977011494253,21.570414428195775,0.085,54.515,26.97796551724138,2.318235748833411,19.564,30.658,0.0,0.0,0.0,0.0,3.0221275862068966,1.6698438072542896,1.4489,11.0233,1.3748172413793103,0.9932699648491196,0.3311,6.128
none,none,159,43,9,0.69537106918239,0.05779169856937203,0.589,0.98,1.6867987421383648,1.6227267557404346,0.721,7.463,3.291955974842767,2.831785971642059,0.902,12.447,0.6785974842767296,0.6895603361627037,0.078,3.193,26.11203144654088,4.632597922512063,16.186,35.37,0.0,0.0,0.0,0.0,4.509467295597484,3.485096300986746,1.4113,16.2282,2.252577987421384,2.0779670317144414,0.3936,9.1996
none,spike,147,44,9,0.7244897959183674,0.07119771499978733,0.612,1.113,2.3662721088435372,1.8938197703873265,0.792,8.679,5.023190476190476,3.4830756353083316,1.076,14.662,0.9627755102040816,0.7288149773275546,0.115,2.876,23.104204081632652,4.2734325059281035,15.213,32.489,0.0,0.0,0.0,0.0,6.659828571428571,4.180795362489499,1.606,18.4893,3.423282993197279,2.5108449667740422,0.7074,10.1467
tc,none,52,24,2,0.7298461538461538,0.08729651625135408,0.603,1.076,2.7591923076923077,2.2899498328134644,0.737,7.418,4.320288461538461,3.0679555390631355,0.939,10.733,0.8953269230769231,0.7906717352899529,0.081,2.541,24.38446153846154,5.540207182582858,16.223,33.442,0.0,0.0,0.0,0.0,5.589376923076923,3.481683578814483,1.4227,11.9123,3.182973076923077,2.304834045500923,0.6174,8.6977
tc,spike,52,24,2,0.7499615384615385,0.1148072487870749,0.622,1.154,3.436673076923077,2.4036914969675847,0.792,8.656,5.71373076923077,3.7724194873898385,1.049,15.304,1.1765384615384615,0.8387459701323595,0.107,3.123,22.944288461538463,4.989700876478167,15.773,32.043,0.0,0.0,0.0,0.0,7.173611538461539,3.908710733866184,1.5894,15.6803,4.198613461538462,2.8296479153967815,0.6897,12.4019
